Nombre,Teléfono,Descripción
Laura,69401593,"Sobre mi:
22 años de edad Mujer de Panamá, Panama
Saludos, querido, soy Laura, una joven prepago, hermosa, apasionada, cautivadora, elegante, sensual e irresistible. Estoy aquí para enamorarte con mi presencia, ofreciéndote un momento especial y una compañía de alta calidad.

Mi propósito es complacerte con experiencias memorables que despierten tus sentidos y satisfagan tus deseos más profundos. Podemos disfrutar de una noche inolvidable o un rato lleno de placer y conexión, ¡anímate!

Me atrae el misterio, la comodidad y los caballeros discretos. Contáctame al siguiente número de teléfono 69401593 para agendar una cita. Estoy ubicada en Ciudad de Panamá.
--------------------------------------------------------------------------------------------------------------
DILE A LAURA QUE LA HAS VISTO EN ESCORTS PANAMA     Gracias..¡¡¡"
Antonella,67181640,"Sobre mi:
22 años de edad Mujer de Panamá, Panama
Hola, mi amorcito, soy Antonella, la misma prepago que ves en las fotos. Me describo como una joven colombiana con cabello liso, una figura delgada y exquisita, totalmente natural, piel clara y hermosos pechos.

Te invito a disfrutar de mi servicio VIP y del placer auténtico. Conmigo, experimentarás un trato magnífico de novia, con besos en la boca, masajes eróticos y fantasías, entre otras cosas.

Llámame o escríbeme al 67181640 para más información. Ven a conocerme, estoy en Ciudad de Panamá y tengo un hermoso, privado, confortable y discreto apartamento, donde nos divertiremos como nunca antes. Nos vemos pronto.
-------------------------------------------------------------------------
DILE A ANTONELLA QUE LA HAS VISTO EN ESCORTS PANAMA.  Gracias..¡¡¡"
Aby Montoya,62258038,"Sobre mi:
24 años de edad Mujer de Panamá, Panama
Hola, cariño, soy Aby, una hermosa modelo colombiana con un rostro angelical y grandes senos para que disfrutes al máximo. Con mi atención como escort, te deleitarás como nunca antes.

Estoy aquí para cumplir tus fantasías y mostrarte cuánto disfruto hacer el amor en diversas posiciones. Eso sí, te advierto que todo será con protección para nuestra seguridad.

Dispongo de un apartamento privado donde podrás estar tranquilo y sin apuros, en la ciudad de Panamá. También ofrezco servicio a domicilio. Contáctame al número 62258038 para darte más detalles y agendar.
---------------------------------------------------------------------------------------------------------
DILE A ABY QUE LA HAS VISTO EN ESCORTS PANAMA. Gracias..¡¡¡"
Melany,64960911,"Sobre mi:
23 años de edad Mujer de Panamá, Panama
Hola cariño, soy Melany, una prepago súper sexy de 23 años, recién llegada a la ciudad. En mí descubrirás a una chica traviesa, adinerada, comprometida, amable, provocativa, inteligente, apasionada, desenfrenada, ardiente y ajustada.

Vengo lista para complacerte en todos los aspectos, ya que no tengo límites. Deseo conocer y vivir nuevas experiencias con masajes lujosos que te encantarán y un final feliz.

No dudes en llamarme al 64960911 para obtener más información y programar tu cita. Estoy disponible las 24 horas en San Francisco, Ciudad de Panamá, donde podremos estar a solas. Espero verte pronto, besitos.
----------------------------------------------------------------------
DILE A MELANY QUE LA HAS VISTO EN ESCORTS PANAMA.   Gracias...¡¡¡"
Nahomy,64104173,"Sobre mi:
23 años de edad Mujer de Panamá, Panama
Hola, cariño, soy Nahomy, una escort muy sexy, atrevida, extrovertida y extremadamente divertida.

Al conocerme, te encontrarás con una venezolana divina, hermosa, amable, dulce y muy sexy.

Estoy lista para complacerte en todos los aspectos, ya que mi mayor anhelo es satisfacer todos tus deseos, ofrecerte un momento muy agradable y dejarte completamente satisfecho.

Acabo de llegar a la ciudad de Panamá y estoy en la zona de San Francisco. Si quieres saber más sobre mis servicios, horarios, tarifas o agendar una cita, llámame o envíame un mensaje al 64104173.
-----------------------------------------------------------------------------------------------------
DILE A NAHOMY QUE LA HAS VISTO EN ESCORTS PANAMA. Gracias...¡¡¡"
Selene,69026644,"Sobre mi:
35 años de edad Mujer de Panamá, Panama
69026644
Colombiana de 28 años blanca tetona de lindo rostro con rica micha(vagina) apretadita caliente y succionadora(chupa-chupa o beso de Singapur), mis amores cuento con lugar cómodo climatizado, cuento con diferentes servicios:
- experta mamadora chupo,lamo y succiono tu pinga a garganta profunda podemos darnos placer mutuamente (69)

- me dejo tocar acariciar besar pechos

- paja rusa y echadita de leche en tetas

-masaje erótico cuerpo a cuerpo con final feliz (experta masajeando tu pene ricas pajas aceitosas)

- masajes profesionales para soltar nudos causados por estrés

- cuento con juguetes ,prostático como gustes dedo,juguetes o puño

- beso negro

Fetiche de pies, tengo excelente manejo de mis pies para masturbar tu pene

- lluvia dorada
- trío con mi compañera 

Mis amores con gusto puedes chat para mayor información 69026644"
SAMANTHA,6389-9470,"Sobre mi:
30 años de edad Mujer de Panamá, Panama
6389-9470 ESTOY DE VUELTAAA LA REINA DE LAS FANTASIAS SOY UNA HERMOSA Y ARDIENTE JOVEN SCORT Y MASAJISTA COLOMBIANA CON UNOS HERMOSOS Y GRANDES SENOS PARA QUE ME DES TODA TU LECHE. SOY DE MENTE ABIERTA, CUMPLO FETICHES Y FANTASIAS OFREZCO RELACIONES ILIMITADAS EN LA HORA TAMBIEN HAGO (PROSTATICO, BESO NEGRO, PEGGING,  LLUVIA DORADA, TRIOS, PAREJAS, FISTING, CAMBIO DE ROL, FIESTERA Y MAS) ALGUNOS DE LOS SERVICIOS TIENEN COSTO ADICIONAL. ACEPTO DIFERENTES MEDIOS DE PAGO...CUENTO CON APTO PRIVADO MUY COMODO DISCRETO Y SEGURO, HABITACION CON AIRE, DISPONIBLE 24/7 VOY A HOTELES Y PUSH....TAMBIEN SOY WEB CAM Y OFREZCO SERVICIOS VIRTUALES, VIDEOLLAMADAS, CHAT EROTICO, PACKS DE FOTOS Y VIDEOS, VIDEOS PERSONALIZADOS DICIENDO TU NOMBRE Y MUCHO MAS...VEN PARA COMPLACERTE
TAMBIEN OFREZCO RICOS PACKSSS CHATT EROTICOO, VIDEOLLAMADASSS, FOTOS, VIDEOS PERSONALIZADOS CON TU NOMBRE TODO DESDE 10$ 10$ 10$
TENGO HERMOSA LENCERIA Y GRAN VARIEDAD DE JUGUETITOSSSS SEXUALESSSS VEN PARA COMPLACERTE, FOTOS 100% REALES Y RECIENTES DOY UN EXCELENTE TRATO ATENCION SIN APUROS
VEN PARA COMPLACERTE"
Maria angel,63548679,"Sobre mi:
25 años de edad Mujer de Panamá, Panama
Hola soy una bella colombiana dispuesta a complacerte y hacerte vivir un momento único donde saldrás de la monotonía no lo pienses tanto seré tu mejor elección"
Carolay,66306078,"Sobre mi:
25 años de edad Mujer de Panamá, Panama
Hola mis amores soy carolay una hermosa   , joven, educada y muy discreta de 25 años paisita dispuesta a brindarte el mejor de los servicios , mi servicio es V.I.P y  totalmente real 
Ven a disfrutar de mis encantos soy tierna, juguetona, pasional y muy ardiente , haré despejar tu cuerpo y mente con ricos masajes eroticos y relajantes te complaceré al máximo  la chica ideal para compartir una cita que te enloquecerá"
Kitty,69520418,"Sobre mi:
25 años de edad Mujer de Panamá, Panama
Hermosa colombiana de 22 años vine a complacerte amor 
Estoy dispo la mejor mamada y posiciones bb"
